Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 8, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11075874346&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 10, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11665351401&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 3, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11628157884&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 9, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005574&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 11, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033338&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 10, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033504&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 9, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033319&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 3, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11661111624&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 7, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005593&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 14, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10371286855&groupId=&qty=1
