Section: 221, Row: 9, Price: $37 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 210, Row: 7, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 204, Row: 11, Price: $37 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 213, Row: 7, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 215, Row: 4, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 220, Row: 9, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 221, Row: 8, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 231, Row: 5, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 217, Row: 14, Price: $32 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 218, Row: 11, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 210, Row: 7, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 222, Row: 14, Price: $30 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 231, Row: 3, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 204, Row: 12, Price: $37 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 212, Row: 3, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 216, Row: 6, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 204, Row: 8, Price: $43 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 217, Row: 14, Price: $33 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 221, Row: 7, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 215, Row: 8, Price: $36 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 230, Row: 6, Price: $36 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 220, Row: 12, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 210, Row: 7, Price: $30 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 232, Row: 14, Price: $31 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 231, Row: 5, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 224, Row: 3, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 213, Row: 12, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 206, Row: 12, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 228, Row: 4, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 212, Row: 4, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 230, Row: 5, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 228, Row: 5, Price: $33 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 210, Row: 5, Price: $33 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 204, Row: 12, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 210, Row: 6, Price: $32 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 224, Row: 3, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 219, Row: 14, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 203, Row: 14, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 231, Row: 6, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
