Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 10, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 11, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 7, Price: $25, Est. Price: $25, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 8, Price: $26, Est. Price: $26, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 205, Row: 8, Price: $26, Est. Price: $26, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 8, Price: $23, Est. Price: $23, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 9, Price: $21, Est. Price: $21, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 8, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 6, Price: $25, Est. Price: $25, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 5, Price: $26, Est. Price: $26, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 205, Row: 9, Price: $26, Est. Price: $26, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 218, Row: 12, Price: $25, Est. Price: $25, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 11, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 9, Price: $23, Est. Price: $23, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 8, Price: $27, Est. Price: $27, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 8, Price: $24, Est. Price: $24, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 6, Price: $29, Est. Price: $29, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 8, Price: $21, Est. Price: $21, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 220, Row: 14, Price: $24, Est. Price: $24, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 8, Price: $28, Est. Price: $28, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 9, Price: $19, Est. Price: $19, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 3, Price: $29, Est. Price: $29, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
