Section: 201, Row: 8, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 225, Row: 11, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 212, Row: 2, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 230, Row: 2, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 226, Row: 2, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 209, Row: 9, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 205, Row: 6, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 202, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 216, Row: 9, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 204, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 202, Row: 6, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 219, Row: 9, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 219, Row: 13, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 213, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 218, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 215, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 203, Row: 13, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 217, Row: 6, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 225, Row: 8, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 229, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 205, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 223, Row: 14, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 212, Row: 6, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 215, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 219, Row: 8, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
