Section: 206, Row: 14, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10724807593&groupId=&qty=2
Section: 232, Row: 6, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11394747650&groupId=&qty=2
Section: 212, Row: 14, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10836042856&groupId=&qty=2
Section: 210, Row: 10, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10389591692&groupId=&qty=2
Section: 215, Row: 6, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872532&groupId=&qty=2
Section: 211, Row: 11, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10403486873&groupId=&qty=2
Section: 201, Row: 6, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872436&groupId=&qty=2
Section: 209, Row: 13, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10374471262&groupId=&qty=2
Section: 210, Row: 5, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872539&groupId=&qty=2
Section: 226, Row: 10, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872451&groupId=&qty=2
Section: 222, Row: 7, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11253228580&groupId=&qty=2
Section: 231, Row: 10, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10829477260&groupId=&qty=2
Section: 232, Row: 6, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11253228576&groupId=&qty=2
Section: 221, Row: 9, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465742&groupId=&qty=2
Section: 213, Row: 7, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11027192497&groupId=&qty=2
Section: 212, Row: 10, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11396314392&groupId=&qty=2
Section: 217, Row: 7, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11389061410&groupId=&qty=2
Section: 206, Row: 11, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10374787267&groupId=&qty=2
Section: 215, Row: 6, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872547&groupId=&qty=2
Section: 202, Row: 11, Price: $27.00, Est. Price: $37.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872468&groupId=&qty=2
