Section: 212, Row: 6, Price: $31 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 229, Row: 12, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 227, Row: 9, Price: $24 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 210, Row: 4, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 226, Row: 11, Price: $26 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 228, Row: 5, Price: $33 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 203, Row: 14, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 231, Row: 6, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 202, Row: 11, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 221, Row: 7, Price: $44 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 210, Row: 9, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 224, Row: 7, Price: $37 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 220, Row: 8, Price: $46 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 219, Row: 14, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 227, Row: 6, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 211, Row: 6, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 218, Row: 11, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 210, Row: 2, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 219, Row: 9, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 211, Row: 11, Price: $23 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 226, Row: 10, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 212, Row: 2, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 226, Row: 2, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 215, Row: 7, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 228, Row: 7, Price: $33 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 217, Row: 6, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
