Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 232, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900292
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8595420334
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 217, Row: 13, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8449129926
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 217, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8276158205
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 4, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7804197320
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 221, Row: 8, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8464434959
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 210, Row: 12, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900186
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 209, Row: 7, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8005082880
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 209, Row: 12, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900160
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 227, Row: 12, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7803210720
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 10, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900355
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 11, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8595420369
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 221, Row: 14, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8071861662
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 13, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008601
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 202, Row: 13, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7977117332
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 216, Row: 8, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8271078570
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 223, Row: 4, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7937360054
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 6, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008590
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 223, Row: 12, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7804197323
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 217, Row: 13, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008589
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 221, Row: 7, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8443603529
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 209, Row: 13, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7803603797
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 229, Row: 12, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008515
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 222, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900446
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 232, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900768
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900815
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 7, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7803603348
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 6, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008524
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 231, Row: 6, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8336100250
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 217, Row: 8, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008544
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 212, Row: 2, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8433321646
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 6, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8000902987
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 6, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8417757908
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 202, Row: 14, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7814388453
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 205, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8617010420
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 205, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008569
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 201, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8632355011
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 217, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8632375633
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 221, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8632363540
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 5, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008574
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 231, Row: 4, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7937355182
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 201, Row: 7, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008565
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 216, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900945
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 232, Row: 8, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8578502244
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 2, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8610009242
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 210, Row: 4, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008499
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 220, Row: 9, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8490818898
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 207, Row: 8, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900839
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8386317809
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 219, Row: 14, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8639553704
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 216, Row: 6, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8336104025
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 218, Row: 11, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8545008523
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 213, Row: 7, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8449128784
