Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 3, Price: $33.00, Est. Price: $46.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11628224632&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 2, Price: $33.00, Est. Price: $46.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11273004437&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 13, Price: $33.00, Est. Price: $46.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11664120507&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 12, Price: $33.00, Est. Price: $46.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11734503320&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 12, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369826351&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 10, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369953186&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 14, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11756728277&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 12, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11756736715&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 12, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10370136980&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 6, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10386748835&groupId=&qty=2
