Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 105, Row: 39, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8861675972
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 140, Row: 33, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8872012712
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 142, Row: 30, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8852147177
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 15, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569142
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 16, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569144
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 19, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569153
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 20, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569157
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 21, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569162
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 22, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569168
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 23, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569177
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 24, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569178
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 25, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569181
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 26, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569185
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 27, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874569188
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 28, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8871481149
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 311, Row: 20, Price: $57, Est. Price: $91.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8762960682
