Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 110, Row: 25, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8661343026
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 226, Row: 1, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7886809388
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 107, Row: 17, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555080
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 220, Row: 10, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8561138952
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 109, Row: 16, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639552448
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 106, Row: 28, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8590028562
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 214, Row: 14, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8577755038
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 120, Row: 14, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639553241
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 203, Row: 1, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7814822239
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 230, Row: 1, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7886787096
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 231, Row: 2, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7803175353
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 217, Row: 5, Price: $70, Est. Price: $101.50, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8422691044
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 120, Row: 12, Price: $72, Est. Price: $104.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8417382975
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 108, Row: 15, Price: $72, Est. Price: $104.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8417752233
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 106, Row: 26, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7804325975
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 108, Row: 14, Price: $76, Est. Price: $110.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7807520663
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 105, Row: 28, Price: $77, Est. Price: $111.65, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639552347
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 111, Row: 26, Price: $77, Est. Price: $111.65, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555211
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 204, Row: 8, Price: $77, Est. Price: $111.65, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8110213782
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 108, Row: 11, Price: $78, Est. Price: $113.10, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7807520649
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 105, Row: 25, Price: $82, Est. Price: $118.90, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8417751794
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 105, Row: 24, Price: $82, Est. Price: $118.90, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555062
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 106, Row: 16, Price: $82, Est. Price: $118.90, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8651246074
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 121, Row: 18, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8548604849
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 110, Row: 21, Price: $87, Est. Price: $126.15, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8443612592
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 110, Row: 13, Price: $88, Est. Price: $127.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8642682038
