Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 10, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8367067462
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 11, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7814378717
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 13, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7816989026
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 7, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7897531561
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 4, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809313343
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 220, Row: 14, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988618
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 11, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831713
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 14, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817016865
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 8, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526991
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 6, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8093816483
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 5, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809313935
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 11, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817030044
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 202, Row: 13, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7802311859
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 8, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988516
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 10, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7932832201
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 221, Row: 8, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8409200190
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 3, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314467
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 3, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314137
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 11, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817007546
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 13, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8391275218
