Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 4, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7804327378
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 5, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809314507
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 217, Row: 13, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8449130246
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 223, Row: 8, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8667529327
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 221, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7804454686
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 221, Row: 14, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8071861640
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 5, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809314657
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 5, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809313450
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925743
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 7, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8206258582
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 7, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8519749790
