Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859717
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859749
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859773
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 205, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326927
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 7, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858686
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 216, Row: 7, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326231
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 217, Row: 9, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328300
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 218, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328416
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 218, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328453
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 218, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328665
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 220, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858866
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 220, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858904
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 202, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327190
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 217, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328332
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 218, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328604
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 216, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326344
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 201, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858909
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858902
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 207, Row: 6, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858900
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 215, Row: 6, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859830
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 201, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858917
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 201, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858929
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 201, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858935
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 207, Row: 7, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858768
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 9, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858697
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 215, Row: 7, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859846
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 216, Row: 9, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326421
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 207, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858792
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 214, Row: 6, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327571
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 215, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326131
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 216, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326449
