Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 204, Row: 12, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7843506429
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 218, Row: 10, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8353570590
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 204, Row: 11, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7807542916
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 11, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810599299
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 227, Row: 10, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810599153
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 227, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658394
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 232, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658514
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 222, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658533
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658365
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 10, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658525
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658482
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810551326
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 206, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658444
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 211, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658423
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 216, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658452
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658545
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 212, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8070079664
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 209, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658344
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 12, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658379
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 205, Row: 10, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810528829
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 206, Row: 7, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8531889010
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 217, Row: 11, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810536931
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 229, Row: 8, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8069913857
