Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 217, Row: 6, Price: $169.00, Est. Price: $169.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67afe92c2f94efc81099b38e?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 107, Row: 24, Price: $177.00, Est. Price: $177.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67991dd726a9cb75c51f62fc?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 220, Row: 7, Price: $180.00, Est. Price: $180.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67b6aeef2f94efc8102a9990?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 203, Row: 7, Price: $180.00, Est. Price: $180.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67ae9bf62f94efc810909679?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 112, Row: 28, Price: $189.00, Est. Price: $189.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/679aa3a226a9cb75c56266e4?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 108, Row: 28, Price: $189.00, Est. Price: $189.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/679b82ea26a9cb75c53d53ad?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 221, Row: 6, Price: $189.00, Est. Price: $189.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/679d72d0f6af5e52e4e95a8e?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 104, Row: 28, Price: $199.00, Est. Price: $199.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67992d0d26a9cb75c5ed7fb9?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 111, Row: 27, Price: $202.00, Est. Price: $202.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/679a0f3126a9cb75c50ad63d?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 106, Row: 25, Price: $205.00, Est. Price: $205.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/679a0f2f26a9cb75c50abb16?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 102, Row: 27, Price: $212.00, Est. Price: $212.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/6799242526a9cb75c5bf6a62?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 107, Row: 18, Price: $212.00, Est. Price: $212.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67991dd826a9cb75c51f8112?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 111, Row: 19, Price: $213.00, Est. Price: $213.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67991d6b26a9cb75c512dde2?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 124, Row: 28, Price: $213.00, Est. Price: $213.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67abe21d3e2207e70b3f47be?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
