Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 211, Row: 11, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11710028768&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 227, Row: 10, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10405494419&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 230, Row: 6, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10386747069&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 210, Row: 10, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10375522349&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 212, Row: 10, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11493250018&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 224, Row: 4, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11253243139&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 7, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11746337123&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 6, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11746337113&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 6, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10386747003&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 5, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10386746979&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 218, Row: 12, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10382617060&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 221, Row: 9, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10864934491&groupId=&qty=2
