Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936624509
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 24, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607861779
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 105, Row: 18, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8960206201
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 10, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076575910
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 2, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8892068463
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936622631
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936624479
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8841056644
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936623124
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936623169
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936892802
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 20, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936622560
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 21, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936622586
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 19, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607859553
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 17, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607861777
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076576092
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936624495
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936622838
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 315, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936622665
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8655261427
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 16, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607859559
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 7, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076579063
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 132, Row: 4, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894838429
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8536497932
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8513085198
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 106, Row: 26, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8986913844
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 110, Row: 7, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8990014247
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 134, Row: 3, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076608857
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 5, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8513085225
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 135, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936707381
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 32, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8904032054
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 32, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8904820666
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 109, Row: 9, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936620234
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 3, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8829665852
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 327, Row: 4, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8829665822
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 112, Row: 7, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8960215083
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 2, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076608438
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 204, Row: 1, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076611747
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 216, Row: 1, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076614899
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 215, Row: 4, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8960180823
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 11, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394859
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 12, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394897
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 13, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394917
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394947
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 15, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894395085
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 16, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894395088
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 15, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394959
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 16, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394962
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 17, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894395091
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 17, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394972
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 18, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894394981
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 20, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894395008
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 21, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8894395017
