Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 127, Row: 25, Price: $360.00, Est. Price: $360.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67bf65dc2f94efc810e824d6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 111, Row: 32, Price: $363.00, Est. Price: $363.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67bf65dc2f94efc810e824bb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 131, Row: 29, Price: $367.00, Est. Price: $367.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad48?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 117, Row: 31, Price: $369.00, Est. Price: $369.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67bf65dc2f94efc810e824d0?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 111, Row: 37, Price: $374.00, Est. Price: $374.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67acc2663e2207e70b9c4b67?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 421, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/678472be5f5eedb9b5a23a3a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 451, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/678472be5f5eedb9b5a23a2e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 230, Row: 2, Price: $387.00, Est. Price: $387.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67bf65d92f94efc810e80bbe?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 131, Row: 17, Price: $388.00, Est. Price: $388.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aacdd?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 107, Row: 41, Price: $395.00, Est. Price: $395.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d66?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 127, Row: 7, Price: $399.00, Est. Price: $399.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aacee?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 110, Row: 40, Price: $403.00, Est. Price: $403.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d2f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 242, Row: 1, Price: $413.00, Est. Price: $413.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67bf65d92f94efc810e80ba8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 129, Row: 26, Price: $436.00, Est. Price: $436.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/6789d10e5f5eedb9b527d139?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 129, Row: 40, Price: $438.00, Est. Price: $438.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad2f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 110, Row: 33, Price: $442.00, Est. Price: $442.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d79?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 128, Row: 29, Price: $450.00, Est. Price: $450.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d95?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 132, Row: 14, Price: $458.00, Est. Price: $458.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a37509f6af5e52e42bc2ee?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 129, Row: 31, Price: $460.00, Est. Price: $460.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8cde?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 119, Row: 17, Price: $462.00, Est. Price: $462.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a372e5f6af5e52e4fb4a82?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 130, Row: 28, Price: $467.00, Est. Price: $467.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d38?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 108, Row: 39, Price: $481.00, Est. Price: $481.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad9c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 132, Row: 4, Price: $512.00, Est. Price: $512.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a37509f6af5e52e42bc2e7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 109, Row: 35, Price: $517.00, Est. Price: $517.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d48?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 130, Row: 39, Price: $517.00, Est. Price: $517.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8da8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 107, Row: 17, Price: $531.00, Est. Price: $531.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d9c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
