Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8655260827
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 327, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8942386858
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 317, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8933357407
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 16, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8607832548
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 323, Row: 9, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8892130352
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 10, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8892131291
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 11, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8892131312
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8892131324
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8892131336
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8892131354
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 15, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8892131369
