Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 312, Row: 17, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b763e2207e70b20d36c
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 2, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67896e6c5f5eedb9b550e488
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 103, Row: 14, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b502262f94efc8109e8f16
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 319, Row: 17, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b603e2207e70b1ea1f0
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 104, Row: 14, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b502262f94efc8109e8f27
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 326, Row: 1, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b713e2207e70b207278
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 144, Row: 11, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b502262f94efc8109e8f22
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 108, Row: 30, Price: $77.00, Est. Price: $77.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/670ea1a9f0923f9bcdabb520
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 139, Row: 34, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b763e2207e70b20d3c3
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 136, Row: 38, Price: $79.00, Est. Price: $79.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b673e2207e70b1f70a5
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 140, Row: 33, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b753e2207e70b20c235
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 310, Row: 3, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/670ea1b5f0923f9bcdacda36
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 11, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b502872f94efc810a5e2ce
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 143, Row: 28, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d09638dec8018c7605518d
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 142, Row: 39, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d0964adec8018c76078ee3
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 139, Row: 39, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d09645dec8018c7607184b
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 106, Row: 39, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d09625dec8018c760399dc
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 107, Row: 39, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d09641dec8018c76067aa5
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 108, Row: 39, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d0960fdec8018c7601798c
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 105, Row: 39, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d09647dec8018c76074be2
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 101, Row: 28, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d0960ddec8018c76015bfe
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 104, Row: 37, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d09631dec8018c7604b7e6
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 133, Row: 9, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b502b82f94efc810ad66c8
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 321, Row: 2, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/670ea1b3f0923f9bcdac93d0
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 137, Row: 29, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/670ea1a6f0923f9bcdab6a50
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 6, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b502872f94efc810a5e2bd
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 142, Row: 27, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b663e2207e70b1f4775
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 134, Row: 3, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b502b82f94efc810ad66a0
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 318, Row: 6, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b703e2207e70b205615
