Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 220, Row: 9, Price: $97, Est. Price: $140.65, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8728246568
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 220, Row: 11, Price: $97, Est. Price: $140.65, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8768742677
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 212, Row: 13, Price: $97, Est. Price: $140.65, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619499
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 212, Row: 14, Price: $97, Est. Price: $140.65, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8740283636
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 201, Row: 14, Price: $98, Est. Price: $142.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8738742658
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 203, Row: 14, Price: $98, Est. Price: $142.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8788890980
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 212, Row: 8, Price: $98, Est. Price: $142.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8823873490
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 208, Row: 8, Price: $98, Est. Price: $142.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8672064479
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 210, Row: 14, Price: $98, Est. Price: $142.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8828618416
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 208, Row: 7, Price: $98, Est. Price: $142.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8835207770
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 14, Price: $98, Est. Price: $142.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8828510612
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 208, Row: 6, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619511
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 10, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619428
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 11, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8757719581
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 12, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619962
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 13, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723620044
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 215, Row: 7, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619845
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 201, Row: 9, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8747512160
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 203, Row: 13, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8722884531
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 8, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723620027
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 9, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8795998624
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 206, Row: 8, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8812073379
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 216, Row: 8, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664148697
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 201, Row: 8, Price: $101, Est. Price: $146.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619611
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 203, Row: 14, Price: $101, Est. Price: $146.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8673336260
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 203, Row: 12, Price: $102, Est. Price: $147.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8760104820
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 210, Row: 13, Price: $102, Est. Price: $147.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8749590916
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 211, Row: 14, Price: $103, Est. Price: $149.35, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8716954608
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 212, Row: 4, Price: $104, Est. Price: $150.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8665000149
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 214, Row: 6, Price: $104, Est. Price: $150.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664878766
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 214, Row: 8, Price: $104, Est. Price: $150.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664149433
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 215, Row: 2, Price: $104, Est. Price: $150.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8829653803
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 210, Row: 4, Price: $106, Est. Price: $153.70, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8835102241
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 213, Row: 7, Price: $108, Est. Price: $156.60, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8666451284
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 212, Row: 3, Price: $109, Est. Price: $158.05, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8665005337
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 202, Row: 5, Price: $110, Est. Price: $159.50, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8829653802
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 219, Row: 10, Price: $113, Est. Price: $163.85, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664986971
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 208, Row: 3, Price: $113, Est. Price: $163.85, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8665005343
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 205, Row: 8, Price: $113, Est. Price: $163.85, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8665003320
