Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 111, Row: 37, Price: $288.00, Est. Price: $288.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67acc1d13e2207e70b8a67e2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 106, Row: 22, Price: $288.00, Est. Price: $288.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9523?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 132, Row: 23, Price: $297.00, Est. Price: $297.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9462?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 106, Row: 14, Price: $297.00, Est. Price: $297.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f949e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 132, Row: 14, Price: $301.00, Est. Price: $301.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67a37b16f6af5e52e4f0cf75?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 129, Row: 26, Price: $301.00, Est. Price: $301.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/6789d1975f5eedb9b54037ad?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 413, Row: 8, Price: $305.00, Est. Price: $305.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67a374c6f6af5e52e42421f8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 131, Row: 34, Price: $307.00, Est. Price: $307.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100fb130?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 128, Row: 39, Price: $314.00, Est. Price: $314.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100fb11e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 230, Row: 2, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67bf656d2f94efc810dbb8fe?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
