Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 108, Row: 28, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e515f5eedb9b54e0621
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 311, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e575f5eedb9b54eaf1a
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 301, Row: 32, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d26dec8018c767ac4ca
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 331, Row: 32, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0cfcdec8018c7676821e
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 330, Row: 32, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0cfedec8018c7676ae66
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 133, Row: 9, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b33bdb98988f2db6c98a7
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 143, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c373e2207e70b368a1c
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e535f5eedb9b54e346a
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 319, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b7fdec8018c76614479
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 315, Row: 8, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d4b141dec8018c76e54f30
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 315, Row: 26, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b71dec8018c765f7126
