Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 111, Row: 10, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8784358557
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 104, Row: 14, Price: $72, Est. Price: $104.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8793061850
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 141, Row: 11, Price: $72, Est. Price: $104.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8793056621
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 135, Row: 9, Price: $72, Est. Price: $104.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843274565
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 144, Row: 11, Price: $72, Est. Price: $104.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8811659887
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 111, Row: 8, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8754205590
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 109, Row: 7, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8784677453
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 133, Row: 8, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843274640
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 132, Row: 16, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8851493704
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 111, Row: 7, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8793074519
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 113, Row: 38, Price: $80, Est. Price: $116.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8830121393
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 209, Row: 10, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8828072505
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 112, Row: 36, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843274517
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 113, Row: 36, Price: $82, Est. Price: $118.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8873616524
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 213, Row: 10, Price: $82, Est. Price: $118.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8856825493
