Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/6764fe18b98988f2dbd733f6
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 332, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/6764fe18b98988f2dbd7358c
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 143, Row: 16, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95c0bdec8018c7674fcc2
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 138, Row: 28, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b87dec8018c766255f7
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 142, Row: 21, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95c0edec8018c767552b8
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 139, Row: 25, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b7fdec8018c76614844
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 106, Row: 38, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b76dec8018c766025e8
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 137, Row: 31, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95c07dec8018c7674702a
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 108, Row: 30, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/670ea1aef0923f9bcdac05ed
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 141, Row: 20, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95c01dec8018c767383b1
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 136, Row: 32, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b7fdec8018c7661458b
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 103, Row: 19, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b84dec8018c7661de13
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 102, Row: 20, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b79dec8018c76608254
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 104, Row: 19, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b84dec8018c7661ddfe
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 2, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67896e4d5f5eedb9b54d895d
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 310, Row: 3, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/670ea1aaf0923f9bcdabc77a
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 16, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a28520f6af5e52e471a703
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 305, Row: 7, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a28522f6af5e52e471ddb8
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 139, Row: 31, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a2851ef6af5e52e47179e5
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 318, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1293dec8018c76fe6aca
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 315, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca12addec8018c76016454
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 314, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca12f5dec8018c760a779b
