Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 103, Row: 22, Price: $391.00, Est. Price: $391.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bc32f94efc810024266?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 115, Row: 20, Price: $396.00, Est. Price: $396.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bb42f94efc810016c09?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 135, Row: 33, Price: $398.00, Est. Price: $398.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bc62f94efc8100274d6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 115, Row: 15, Price: $398.00, Est. Price: $398.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bd02f94efc810030f66?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 136, Row: 23, Price: $399.00, Est. Price: $399.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bb62f94efc8100185c2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 114, Row: 7, Price: $402.00, Est. Price: $402.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bd22f94efc810032d21?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 111, Row: 32, Price: $404.00, Est. Price: $404.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67bf66432f94efc810f13afa?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 135, Row: 22, Price: $404.00, Est. Price: $404.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bda2f94efc8100390e7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 454, Row: A, Price: $404.00, Est. Price: $404.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c9e91ddec8018c76676a37?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 135, Row: 28, Price: $406.00, Est. Price: $406.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bc92f94efc810029d39?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
