Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 447, Row: 1, Price: $473.00, Est. Price: $473.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3bddec8018c76d8c88a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 124, Row: 24, Price: $476.00, Est. Price: $476.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b3dec8018c76d7e6b3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 123, Row: 26, Price: $476.00, Est. Price: $476.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67acc16d3e2207e70b7fd747?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 421, Row: 9, Price: $479.00, Est. Price: $479.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/6789ce3e5f5eedb9b5d866be?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 451, Row: 9, Price: $479.00, Est. Price: $479.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/6789ce3b5f5eedb9b5d83d27?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 123, Row: 14, Price: $480.00, Est. Price: $480.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c9dec8018c76da155f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 135, Row: 19, Price: $481.00, Est. Price: $481.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3bfdec8018c76d8f08c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 449, Row: A, Price: $481.00, Est. Price: $481.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b3dec8018c76d7e6af?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 452, Row: A, Price: $481.00, Est. Price: $481.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3e5dec8018c76dd81cf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 435, Row: A, Price: $481.00, Est. Price: $481.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3e3dec8018c76dd6ec1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 124, Row: 19, Price: $484.00, Est. Price: $484.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3e5dec8018c76dd81cb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 454, Row: A, Price: $486.00, Est. Price: $486.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c9dec8018c76da1568?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 117, Row: 31, Price: $487.00, Est. Price: $487.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67bf63f72f94efc810af13fb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 455, Row: A, Price: $489.00, Est. Price: $489.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b6dec8018c76d82e7d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 118, Row: 20, Price: $492.00, Est. Price: $492.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3d0dec8018c76db38da?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
