Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 111, Row: 37, Price: $317.00, Est. Price: $317.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67acc19a3e2207e70b82ef8d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 132, Row: 30, Price: $319.00, Est. Price: $319.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c6b2f94efc810112adb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 132, Row: 14, Price: $328.00, Est. Price: $328.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67a37aeef6af5e52e4eca984?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 129, Row: 26, Price: $328.00, Est. Price: $328.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/6789d1cc5f5eedb9b5433baa?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 127, Row: 20, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c7c2f94efc81011ec2b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 131, Row: 29, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3e24?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 452, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/678472be5f5eedb9b5a25aa4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 422, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/678472bb5f5eedb9b5a1fdc6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 443, Row: 5, Price: $335.00, Est. Price: $335.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67a37238f6af5e52e4ebab67?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 133, Row: 13, Price: $340.00, Est. Price: $340.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c722f94efc810118a70?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 117, Row: 31, Price: $342.00, Est. Price: $342.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67bf675e2f94efc81009bfb0?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 131, Row: 17, Price: $348.00, Est. Price: $348.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3e1b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 107, Row: 41, Price: $354.00, Est. Price: $354.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3dc3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 128, Row: 18, Price: $354.00, Est. Price: $354.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c762f94efc81011af48?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 127, Row: 7, Price: $354.00, Est. Price: $354.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3d90?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 127, Row: 15, Price: $356.00, Est. Price: $356.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c662f94efc81011013a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 230, Row: 2, Price: $358.00, Est. Price: $358.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67bf675b2f94efc81009877d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 110, Row: 40, Price: $360.00, Est. Price: $360.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3e45?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 129, Row: 33, Price: $363.00, Est. Price: $363.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c832f94efc810126bbc?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 421, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/678472be5f5eedb9b5a23a45?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 451, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/678472bb5f5eedb9b5a1fdd3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 126, Row: 6, Price: $388.00, Est. Price: $388.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c542f94efc8100fde19?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 129, Row: 40, Price: $392.00, Est. Price: $392.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1f2e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 110, Row: 33, Price: $395.00, Est. Price: $395.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1f1f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
