Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8918853486
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8841129628
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 308, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8944398491
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 310, Row: 3, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936885720
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 307, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936888394
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 2, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936888467
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 133, Row: 9, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793514526
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 102, Row: 20, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987058874
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 137, Row: 31, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8986896227
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 143, Row: 16, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8994605644
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 136, Row: 32, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987058099
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 142, Row: 21, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8986896222
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 106, Row: 38, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8986924731
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 139, Row: 25, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987014829
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 311, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8981781502
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 317, Row: 11, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8840515313
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 137, Row: 29, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936800128
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 7, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793506564
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 6, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793506511
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 133, Row: 6, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793514511
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 321, Row: 2, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936885753
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 134, Row: 3, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793523887
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 5, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793506407
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 107, Row: 31, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8830050929
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 102, Row: 17, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936931726
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 106, Row: 34, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8937202659
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 102, Row: 15, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936889473
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 137, Row: 27, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8840515194
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 143, Row: 14, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8840549707
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 142, Row: 17, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8854282504
