Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 132, Row: 23, Price: $425.00, Est. Price: $425.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc803?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 131, Row: 34, Price: $435.00, Est. Price: $435.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7ec?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 128, Row: 39, Price: $439.00, Est. Price: $439.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7cb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 119, Row: 17, Price: $462.00, Est. Price: $462.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67a37317f6af5e52e401bacf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 131, Row: 29, Price: $468.00, Est. Price: $468.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc818?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 132, Row: 14, Price: $485.00, Est. Price: $485.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67a37b02f6af5e52e4ef7b5e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 131, Row: 17, Price: $496.00, Est. Price: $496.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc843?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 127, Row: 7, Price: $506.00, Est. Price: $506.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7be?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 107, Row: 41, Price: $506.00, Est. Price: $506.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc821?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 110, Row: 40, Price: $515.00, Est. Price: $515.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbe033?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
