Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 142, Row: 13, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/678683f15f5eedb9b59e2e39
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 139, Row: 39, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67ea4076d4811782d35b43ee
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 106, Row: 38, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67eac218d4811782d3cbf5ff
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 141, Row: 39, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67ea4081d4811782d35bf0bd
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 136, Row: 39, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e9262cd4811782d33fd1a1
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 103, Row: 37, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67eac246d4811782d3d0c34c
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 101, Row: 28, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67eac21ed4811782d3cc5efb
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 108, Row: 30, Price: $100.00, Est. Price: $100.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/670ea200f0923f9bcdb16364
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 137, Row: 29, Price: $103.00, Est. Price: $103.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/670ea200f0923f9bcdb162e7
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 218, Row: 5, Price: $104.00, Est. Price: $104.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9dd4811782d30d69f4
