Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 309, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32049d4811782d3347ea4
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 307, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32036d4811782d3320412
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 137, Row: 32, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b313e2207e70b8642e7
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 17, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e3a5f5eedb9b54bbbcb
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 324, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67ac13e2207e70b7bd1c5
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 307, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e3a5f5eedb9b54bbcc5
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 105, Row: 18, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e15d39d4811782d3eb1d9e
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 102, Row: 17, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b333e2207e70b869990
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/670ea14bf0923f9bcda2ddd6
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45b9cd4811782d35e0df3
