Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 311, Row: 2, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8937078693
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 215, Row: 4, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9034272903
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 108, Row: 28, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8937078703
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347613
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 2, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036694
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347623
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 12, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347633
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347637
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347646
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 15, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347653
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 16, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347660
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 17, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347693
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 18, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347700
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 19, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347706
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 20, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347737
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 21, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347766
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 22, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347781
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 23, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347794
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 24, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8894347600
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901029381
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901029745
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036450
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 12, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901029775
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036520
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901030044
