Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 143, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e795f5eedb9b552a5fd
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 133, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6704d9ba1a2fe259049289aa
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 315, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea100f0923f9bcd9c4825
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea10ff0923f9bcd9d3a65
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 107, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc1b98988f2db850943
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 110, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc2b98988f2db851f7b
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 321, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e2d5f5eedb9b54a2b82
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc0b98988f2db84f10a
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 102, Row: 39, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc1b98988f2db85086d
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 322, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32025d4811782d3306e63
