Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 133, Row: 16, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea145f0923f9bcda274f8
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 138, Row: 30, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6dad4811782d376c35b
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 142, Row: 23, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6d1d4811782d3760e59
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 139, Row: 25, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6d3d4811782d3763410
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 314, Row: 1, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e355f5eedb9b54b35cc
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 106, Row: 29, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6dcd4811782d3770a0f
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 136, Row: 29, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6d6d4811782d3766f42
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 103, Row: 21, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6e1d4811782d377dcae
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 105, Row: 23, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6dcd4811782d3770b9d
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 319, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e45e94d4811782d3b9ca6e
