Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 39, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9074263640
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 107, Row: 39, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9074263642
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 310, Row: 3, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9062525206
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 140, Row: 12, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9113727402
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 141, Row: 12, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9113727303
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 141, Row: 13, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8720273353
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 102, Row: 25, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9054521120
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 108, Row: 34, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9066013123
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 309, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025773959
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 309, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9113944451
