Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 314, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32033d4811782d331d4da
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 312, Row: 23, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3203fd4811782d332f5c9
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 321, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3204cd4811782d334f824
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 310, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3204cd4811782d334ffe9
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 320, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3204fd4811782d3353e34
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 316, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3204fd4811782d335522e
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 322, Row: 15, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32054d4811782d335ef87
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 313, Row: 8, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67896fb85f5eedb9b5777221
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 39, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/6764fbc1b98988f2db8508bf
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 319, Row: 20, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67d2332ddec8018c76baacdf
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 319, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/6764fbc1b98988f2db8507e7
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 320, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67ef47650b271341d19b90d8
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 318, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67ef481c0b271341d1afca4d
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 19, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/670ea1a8f0923f9bcdab8a27
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 106, Row: 38, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67ac03e2207e70b7bb485
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 139, Row: 25, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32025d4811782d3307552
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 105, Row: 23, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32029d4811782d330c507
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 107, Row: 31, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32029d4811782d330c5a4
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 141, Row: 22, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32031d4811782d331a34b
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32035d4811782d331e98c
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 33, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32036d4811782d332041e
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 104, Row: 21, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3203ad4811782d33254d0
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 106, Row: 29, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3203fd4811782d332eab5
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 103, Row: 21, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3203fd4811782d332f9e5
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 142, Row: 22, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3204cd4811782d334f595
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 138, Row: 34, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e5f7f6d4811782d3a9064f
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 19, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e83ce7d4811782d33937a3
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 136, Row: 28, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e85891d4811782d3bc3639
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 144, Row: 15, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67ee41b6d4811782d3d500a6
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 139, Row: 17, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/670ea1aaf0923f9bcdabc7f8
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 139, Row: 36, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67ac73e2207e70b7c6886
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 144, Row: 11, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67b4f4fe2f94efc81031d2dd
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 205, Row: 2, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e15d37d4811782d3eb00d6
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 217, Row: 2, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e15d3ad4811782d3eb3292
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 31, Price: $77.00, Est. Price: $77.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/6764fbc1b98988f2db8507dc
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 110, Row: 39, Price: $79.00, Est. Price: $79.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/6764fbc2b98988f2db851f31
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 11, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67b4f8182f94efc810877a2a
