Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 319, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6dfd4811782d377a673
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 101, Row: 22, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e15d3ad4811782d3eb3601
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 320, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6e1d4811782d377d8ea
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 12, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6d6d4811782d3766e03
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 34, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e45e3ed4811782d3ad14e5
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 305, Row: 40, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e45e42d4811782d3adcbf3
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 103, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67b4e85a2f94efc810d7090a
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 104, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67b4e85a2f94efc810d70969
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 144, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67b4e85a2f94efc810d7093b
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 107, Row: 39, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc78b98988f2db97f495
