Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 112, Row: 16, Price: $111, Est. Price: $160.95, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9119492708
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 27, Price: $111, Est. Price: $160.95, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096661812
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 11, Price: $111, Est. Price: $160.95, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9126655266
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 8, Price: $112, Est. Price: $162.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9130470278
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 7, Price: $112, Est. Price: $162.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9130269517
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 10, Price: $112, Est. Price: $162.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9125929205
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 107, Row: 9, Price: $112, Est. Price: $162.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9128994862
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 11, Price: $116, Est. Price: $168.2, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8335445889
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 17, Price: $126, Est. Price: $182.7, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9127721975
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 16, Price: $126, Est. Price: $182.7, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9094240020
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 28, Price: $128, Est. Price: $185.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9122075403
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 28, Price: $128, Est. Price: $185.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9115424845
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 103, Row: 27, Price: $128, Est. Price: $185.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9115424986
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 13, Price: $128, Est. Price: $185.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9120006690
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 10, Price: $131, Est. Price: $170.3, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9088204851
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 103, Row: 10, Price: $131, Est. Price: $170.3, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9088202897
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 20, Price: $131, Est. Price: $170.3, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9088185540
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 103, Row: 23, Price: $131, Est. Price: $170.3, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9088200088
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 7, Price: $131, Est. Price: $170.3, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9101194255
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 103, Row: 9, Price: $132, Est. Price: $171.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9109165790
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 22, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9126655168
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 24, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096963722
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 26, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096495109
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 26, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096715681
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 28, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096427846
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 103, Row: 7, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9123852054
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 103, Row: 11, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096583946
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 24, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9104688679
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 24, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096700375
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 105, Row: 25, Price: $136, Est. Price: $176.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9056742656
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 107, Row: 8, Price: $138, Est. Price: $179.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9107738386
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 101, Row: 9, Price: $142, Est. Price: $184.6, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9080069451
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 8, Price: $155, Est. Price: $201.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9072385133
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 10, Price: $155, Est. Price: $201.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9079835435
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 10, Price: $155, Est. Price: $201.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9069598066
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 9, Price: $155, Est. Price: $201.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9097548332
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 3, Price: $156, Est. Price: $202.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8616455570
