Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 9, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911002437
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911002449
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 136, Row: 26, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936883273
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911002457
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 13, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911002471
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911002483
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911002498
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 323, Row: 16, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911002515
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 305, Row: 9, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8907573483
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 10, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003089
