Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 312, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45ba8d4811782d35ef1cf
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 317, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b97d4811782d35dab94
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 106, Row: 31, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32042d4811782d333797f
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 107, Row: 30, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e99799d4811782d342bbb9
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 21, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67c3f5c0dec8018c76813527
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 137, Row: 37, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32029d4811782d330ca58
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 141, Row: 25, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32025d4811782d33066e5
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 136, Row: 37, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32053d4811782d335c5b4
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 108, Row: 39, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3203fd4811782d332f196
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 103, Row: 24, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67ec4cadd4811782d3f1c4ae
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 105, Row: 25, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3203fd4811782d332f759
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 102, Row: 21, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32057d4811782d3363153
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 101, Row: 26, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32049d4811782d3348def
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 104, Row: 24, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32044d4811782d333ac37
