Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 142, Row: 15, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67896e305f5eedb9b54a981b
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 321, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/670ea14ef0923f9bcda340cc
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 133, Row: 9, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/677b33bdb98988f2db6c9894
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67a682bc3e2207e70b57e50d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67c3f5c0dec8018c768134cf
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67896e2c5f5eedb9b54a0f08
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 319, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4323cd4811782d3f92207
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 315, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43239d4811782d3f8becd
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 317, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43239d4811782d3f8c053
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 321, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43231d4811782d3f80daa
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 310, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43231d4811782d3f809cb
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 311, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322ad4811782d3f77ce0
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 316, Row: 15, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4323ed4811782d3f93b85
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 322, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322cd4811782d3f7a05e
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 311, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67896e335f5eedb9b54afba2
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 215, Row: 4, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e15d34d4811782d3eac618
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 133, Row: 16, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/670ea147f0923f9bcda2ae8b
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 111, Row: 5, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/677b32feb98988f2db5eb53b
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 138, Row: 27, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322ed4811782d3f7c585
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 142, Row: 26, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322fd4811782d3f7e8b8
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 106, Row: 31, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322cd4811782d3f7a04c
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 141, Row: 21, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4323ed4811782d3f93dcf
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 136, Row: 37, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43234d4811782d3f843e9
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 103, Row: 24, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4323cd4811782d3f922d6
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 105, Row: 24, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4323ed4811782d3f93c64
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 104, Row: 24, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4323ed4811782d3f93da3
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 313, Row: 1, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67a682b03e2207e70b563d6d
