Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 27, Price: $153.00, Est. Price: $153.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f058940b271341d16686c6?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 112, Row: 26, Price: $153.00, Est. Price: $153.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f058950b271341d166b036?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 21, Price: $162.00, Est. Price: $162.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67eacf0ad4811782d346ca0c?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 10, Price: $162.00, Est. Price: $162.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f2273c0b271341d1aba9fd?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 107, Row: 9, Price: $162.00, Est. Price: $162.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f2d2630b271341d1547613?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 16, Price: $164.00, Est. Price: $164.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67eccfcdd4811782d3b57f87?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 9, Price: $172.00, Est. Price: $172.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67eeed020b271341d10d63ce?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 13, Price: $174.00, Est. Price: $174.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67ef542c0b271341d1c07de4?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 103, Row: 9, Price: $174.00, Est. Price: $174.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67ef5c970b271341d1677590?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 107, Row: 28, Price: $177.00, Est. Price: $177.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67a39470f6af5e52e47c5016?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
