Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 309, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32046d4811782d33401e0
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 324, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32049d4811782d3348e6a
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 323, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e3204fd4811782d3354435
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 327, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32059d4811782d33650b6
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 308, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67eee6b30b271341d1532b64
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 141, Row: 14, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67a64ff63e2207e70ba9c2d0
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 108, Row: 22, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71077d4811782d379cfb2
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 15, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e777cad4811782d33deb62
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 319, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0d8f0923f9bcd99de50
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 143, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e7107ad4811782d37a3ca0
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 315, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad0b98988f2db63a82e
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67ef434b0b271341d1315d32
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 316, Row: 15, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32023d4811782d3303f7f
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 315, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32025d4811782d33070f0
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 311, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32029d4811782d330c191
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 322, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e3202ed4811782d3315204
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 320, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e3204cd4811782d334fbbd
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 321, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32050d4811782d33568f4
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 105, Row: 23, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e3202cd4811782d3312941
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 143, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32042d4811782d3338374
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 142, Row: 22, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32047d4811782d3343296
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 106, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32049d4811782d3348476
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 144, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32049d4811782d334859b
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 139, Row: 25, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e3205ad4811782d3366ee1
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 138, Row: 27, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e34cefd4811782d3fd0b5a
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 136, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e46338d4811782d35440c1
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 111, Row: 14, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0dcf0923f9bcd9a3cb6
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 135, Row: 11, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67a64f863e2207e70ba1b10e
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 110, Row: 7, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67d0bcc7dec8018c76112391
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 134, Row: 7, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0dbf0923f9bcd9a2dd6
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 110, Row: 39, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad0b98988f2db63a742
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 134, Row: 39, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad2b98988f2db63cb7c
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 109, Row: 7, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71070d4811782d37885e2
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 111, Row: 7, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e7107dd4811782d37ada93
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 205, Row: 2, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0def0923f9bcd9a75d2
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 133, Row: 5, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71062d4811782d3775ac4
