Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 133, Row: 9, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b33bdb98988f2db6c9889
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 143, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67896e785f5eedb9b55282bc
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67896e255f5eedb9b5495baa
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 317, Row: 32, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd29b98988f2dbb62224
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 318, Row: 4, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a6869b3e2207e70babad4e
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 320, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50fe5d4811782d32b62d1
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 318, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50ff7d4811782d32d1d25
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 314, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e51005d4811782d32e17e3
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 312, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50ff3d4811782d32ccebf
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50fffd4811782d32dc548
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 322, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50fe7d4811782d32b9af7
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 111, Row: 6, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b332db98988f2db62cc6a
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 134, Row: 3, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b341bb98988f2db71d8c2
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea14bf0923f9bcda2dce1
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 215, Row: 4, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e15d39d4811782d3eb1dbc
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 110, Row: 39, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd2bb98988f2dbb66fab
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 143, Row: 19, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50fe7d4811782d32ba5cf
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 138, Row: 30, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e51007d4811782d32e2408
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 142, Row: 20, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e51018d4811782d32fe1c3
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 139, Row: 28, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e5100dd4811782d32ea704
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 106, Row: 28, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e5100fd4811782d32eebff
