Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 102, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/6764fad0b98988f2db63a8ce
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 104, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fcb5f5eedb9b5794dfa
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 321, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/670ea14ef0923f9bcda34042
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 107, Row: 26, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fbb5f5eedb9b577b09b
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 108, Row: 28, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fc25f5eedb9b578761a
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fbe5f5eedb9b5780cd2
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 143, Row: 11, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651973e2207e70bce8674
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 311, Row: 2, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fc15f5eedb9b57863d6
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 320, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32036d4811782d332107d
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 314, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3203fd4811782d332f459
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 317, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32047d4811782d3342b48
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 322, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3204cd4811782d334fd9e
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 319, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32054d4811782d335e882
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 133, Row: 6, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b2531b98988f2db07fa91
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 109, Row: 27, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a6519a3e2207e70bceaec1
