Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 319, Row: 13, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110816399
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 319, Row: 14, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110813113
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 314, Row: 22, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110815967
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 104, Row: 39, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9074305102
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 39, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9074305110
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 319, Row: 11, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9017902267
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 319, Row: 9, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9085484159
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 132, Row: 4, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8894837383
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 133, Row: 3, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8024663319
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 104, Row: 14, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8793634586
