Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 12, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097282310
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 11, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097012055
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 11, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097100834
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 13, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096447787
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 211, Row: 11, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9122186859
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 9, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9121661151
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 205, Row: 5, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9085725776
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 220, Row: 11, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8972253641
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 106, Row: 25, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8659369333
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 112, Row: 24, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8659369330
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 112, Row: 25, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8659369317
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 104, Row: 28, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8659425452
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 113, Row: 27, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8887827269
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 113, Row: 28, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9003445250
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 203, Row: 7, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088654891
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 219, Row: 7, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088630723
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 202, Row: 5, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088650801
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 204, Row: 5, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088627091
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 218, Row: 5, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088636110
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 201, Row: 6, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088651049
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 218, Row: 7, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088632642
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 220, Row: 7, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088686151
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 7, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088667015
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 201, Row: 9, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9111845216
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 201, Row: 8, Price: $84, Est. Price: $121.8, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9070035133
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 220, Row: 5, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9071382592
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 201, Row: 5, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9106459180
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 220, Row: 6, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9021922932
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 111, Row: 28, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8967218219
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 203, Row: 7, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097144251
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 203, Row: 7, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9111590039
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 201, Row: 6, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097032930
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 202, Row: 6, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097240943
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 204, Row: 6, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096850268
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 220, Row: 7, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096624759
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 201, Row: 7, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096677971
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 202, Row: 8, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096849124
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 204, Row: 8, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096854710
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 9, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096512918
