Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 318, Row: 9, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936807848
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 324, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8833296966
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 327, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8829843790
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 323, Row: 10, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8894440111
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 323, Row: 11, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8894440128
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 10, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341559
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 11, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341571
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 12, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341586
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 13, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341603
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 14, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341615
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 15, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341628
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 16, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341637
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 17, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341658
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341286
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 18, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341672
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 19, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341688
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 20, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341699
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 21, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341718
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 22, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341735
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 11, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341312
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 12, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341341
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 23, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341753
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 24, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341767
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 13, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341408
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 14, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341419
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 15, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341430
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 16, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341444
