Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 141, Row: 25, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67ff13e2207e70b13e40c
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67f5b3e2207e70b042ed0
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e2c5f5eedb9b54a0ee3
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 316, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e355f5eedb9b54b354d
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e8ad4811782d3b86bc2
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e6cd4811782d3b48c90
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 324, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d27bd4811782d3107ba3
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d272d4811782d30fc44d
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 306, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d266d4811782d30eec7f
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 327, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d26dd4811782d30f642a
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 309, Row: 14, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d25bd4811782d30dbd1d
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 11, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b24cfb98988f2db018075
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/6764fc78b98988f2db97e43e
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 139, Row: 17, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/670ea144f0923f9bcda25fa9
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 142, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/678683f15f5eedb9b59e2f60
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 21, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67c3f5c0dec8018c768135bc
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 137, Row: 33, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fec3e2207e70b139343
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/6764fc78b98988f2db97e576
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 105, Row: 18, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e15d39d4811782d3eb1b0b
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/670ea150f0923f9bcda36bed
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 324, Row: 2, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e2f5f5eedb9b54a717e
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e69d4811782d3b4398d
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 306, Row: 1, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67f4d3e2207e70b0218f8
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 33, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e44d4811782d3ae149b
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 305, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e77d4811782d3b64438
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 102, Row: 17, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67f493e2207e70b01483a
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 133, Row: 9, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b2531b98988f2db07fac0
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 143, Row: 11, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67f503e2207e70b02a182
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e315f5eedb9b54aad61
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 319, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d26dd4811782d30f6484
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 315, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d27fd4811782d310e1e8
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 314, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d279d4811782d3103fae
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 317, Row: 6, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fdf3e2207e70b122259
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 317, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d264d4811782d30ebebe
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 310, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d25fd4811782d30e51bc
