Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 14, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842122666
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 207, Row: 7, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842120451
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 221, Row: 7, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9071266025
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 221, Row: 8, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842543456
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 13, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010591
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 217, Row: 5, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8847048493
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 202, Row: 8, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010712
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 206, Row: 6, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9107354183
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 211, Row: 12, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8838336479
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 201, Row: 9, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8848409526
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 10, Price: $78, Est. Price: $113.1, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842277974
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 10, Price: $78, Est. Price: $113.1, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9076791993
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 5, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9109162758
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 6, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9109162730
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 203, Row: 12, Price: $80, Est. Price: $116, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028949
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 12, Price: $80, Est. Price: $116, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010771
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 219, Row: 1, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9076602361
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 203, Row: 8, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8838301792
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 217, Row: 1, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9055661559
