Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936891660
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 21, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936622682
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 5, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8652023238
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 309, Row: 9, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8840520352
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 317, Row: 10, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8840520441
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 204, Row: 1, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533673787
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 134, Row: 3, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8792449590
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 216, Row: 1, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533676320
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 321, Row: 2, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937492124
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 320, Row: 10, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8829648390
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 327, Row: 1, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222659
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 322, Row: 10, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8829649186
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 316, Row: 10, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9097796283
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 314, Row: 10, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8840521258
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 316, Row: 12, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222421
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 316, Row: 13, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222423
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 316, Row: 15, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9108149017
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 138, Row: 25, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8510877480
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 2, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533641959
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 133, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8951326717
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 112, Row: 7, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9011603728
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 112, Row: 9, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533664736
