Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 30, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/670ea169f0923f9bcda60655
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 104, Row: 39, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/6764fbc0b98988f2db84f19a
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 3, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/670ea16ef0923f9bcda6bf96
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 30, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67a679de3e2207e70b67e7e3
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 107, Row: 30, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32025d4811782d3306db1
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 138, Row: 31, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e3202cd4811782d3312290
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 143, Row: 16, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32030d4811782d33181cc
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 31, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32033d4811782d331c4f5
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 106, Row: 29, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32033d4811782d331d1fd
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 136, Row: 29, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32035d4811782d331e618
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 22, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e3204cd4811782d334f528
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 102, Row: 23, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e3204cd4811782d335011c
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 142, Row: 20, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32053d4811782d335c93d
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 104, Row: 20, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32056d4811782d33619fe
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 141, Row: 19, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67ef3bdc0b271341d1840724
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 103, Row: 21, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67f03e6f0b271341d1339ca7
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 110, Row: 39, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/6764fbc4b98988f2db85700f
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 29, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67a679d93e2207e70b678454
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 318, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67ef464c0b271341d17541db
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 320, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67ef47470b271341d197839e
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67ef48920b271341d1bae7f4
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 11, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67b4de582f94efc810bf905f
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 39, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/6764fbc2b98988f2db85427e
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 143, Row: 31, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/6764fbc1b98988f2db850841
