Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 2, Price: $120.00, Est. Price: $120.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67ef03210b271341d19eaeb4?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 221, Row: 6, Price: $121.00, Est. Price: $121.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67e58cb7d4811782d333718f?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 231, Row: 9, Price: $125.00, Est. Price: $125.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c0b13fdec8018c76c85d55?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 108, Row: 26, Price: $160.00, Est. Price: $160.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be09de2f94efc810a26b98?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 110, Row: 21, Price: $160.00, Est. Price: $160.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bf13ea2f94efc81013588c?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 1, Price: $161.00, Est. Price: $161.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c0abc3dec8018c764dab40?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 112, Row: 21, Price: $167.00, Est. Price: $167.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67f2fc7e0b271341d15811f3?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 116, Row: 26, Price: $169.00, Est. Price: $169.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be18182f94efc810170b8c?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 124, Row: 25, Price: $169.00, Est. Price: $169.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be18272f94efc810188402?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 112, Row: 27, Price: $170.00, Est. Price: $170.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be1b2e2f94efc81067d8cb?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 111, Row: 26, Price: $170.00, Est. Price: $170.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be2ae42f94efc810f65d1e?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 105, Row: 28, Price: $170.00, Est. Price: $170.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bfefe22f94efc810c04b34?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 223, Row: 5, Price: $171.00, Est. Price: $171.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c5b1ce8dac4564b30f4ac1?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 116, Row: 16, Price: $174.00, Est. Price: $174.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be18452f94efc8101c992f?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 113, Row: 28, Price: $175.00, Est. Price: $175.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c73451dec8018c763cec61?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 107, Row: 28, Price: $176.00, Est. Price: $176.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bf5d7a2f94efc810dcdc33?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 106, Row: 26, Price: $180.00, Est. Price: $180.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be10002f94efc8103650ba?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 124, Row: 19, Price: $181.00, Est. Price: $181.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be21be2f94efc8100fa127?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 105, Row: 18, Price: $184.00, Est. Price: $184.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be232a2f94efc810357518?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 104, Row: 26, Price: $189.00, Est. Price: $189.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be1f472f94efc810d1d2a2?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 113, Row: 23, Price: $189.00, Est. Price: $189.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be2b4d2f94efc81000d9fb?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 232, Row: 13, Price: $189.00, Est. Price: $189.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c16f0cdec8018c7615c979?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 103, Row: 28, Price: $194.00, Est. Price: $194.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c0b14adec8018c76c95a1f?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
