Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef46390b271341d172d28e
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef47620b271341d19b16d0
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef479d0b271341d1a1bc67
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e3202ad4811782d330ea7f
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 323, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e3202ad4811782d330ee62
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 306, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32035d4811782d331ebd1
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 309, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32047d4811782d334341f
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 327, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32047d4811782d334342a
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 308, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e3204cd4811782d334e7e5
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 325, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e3204fd4811782d335574c
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc1b98988f2db850925
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc1b98988f2db850936
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 103, Row: 23, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac63e2207e70b7c5521
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 34, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac73e2207e70b7c688f
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67acd3e2207e70b7cee1c
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 326, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ad53e2207e70b7d9795
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 29, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/670ea146f0923f9bcda29eca
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/670ea14bf0923f9bcda2ddbf
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 142, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/678683f15f5eedb9b59e2de1
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 103, Row: 17, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67896e2c5f5eedb9b54a0f55
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 21, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67c3f5c0dec8018c76813591
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 323, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef46eb0b271341d18c702d
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 305, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef477b0b271341d19e4a54
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef47fb0b271341d1ac492e
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 107, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac13e2207e70b7bd1d5
