Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 123, Row: 37, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8879032642
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 310, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579368
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 310, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8840520380
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 311, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579409
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 311, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579411
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 312, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9056392587
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 312, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9056392588
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 318, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733531
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 311, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579413
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 315, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047724876
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 315, Row: 14, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9079881361
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 313, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8840520374
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 322, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9100473758
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 322, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579743
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 314, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579504
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 314, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579499
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9037706517
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 314, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579496
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 316, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579553
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579664
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579661
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114171198
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 316, Row: 14, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9085121424
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 139, Row: 30, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9093005682
