Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 7, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9112962303
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 10, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761075
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 10, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041884284
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 12, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041884070
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 13, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041884104
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 14, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041884103
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 215, Row: 10, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9109762423
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 7, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9091269587
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 212, Row: 10, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9064429090
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 210, Row: 6, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9048415183
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 210, Row: 9, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998389796
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 6, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9000487330
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 7, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9124757141
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 11, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9125225598
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 12, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041884540
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 13, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041884566
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 14, Price: $66, Est. Price: $95.7, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041884564
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 9, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8997123211
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 214, Row: 9, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998438425
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 226, Row: 7, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9108685033
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 9, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9091269573
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 203, Row: 9, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998416099
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 8, Price: $67, Est. Price: $97.14999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9091269559
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 223, Row: 10, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9050876193
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 211, Row: 10, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761062
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 227, Row: 12, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9064429151
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 7, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9064062744
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 205, Row: 9, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998388706
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 220, Row: 12, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9082832563
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 232, Row: 8, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9042157264
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 232, Row: 9, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9042157339
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 5, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9000487355
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 202, Row: 11, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998415969
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 222, Row: 10, Price: $70, Est. Price: $101.5, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9016145523
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 122, Row: 20, Price: $70, Est. Price: $101.5, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9035868544
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 11, Price: $70, Est. Price: $101.5, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9082119805
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 12, Price: $70, Est. Price: $101.5, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9082119880
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 207, Row: 8, Price: $70, Est. Price: $101.5, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8996217302
