Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 12, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936892034
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 8, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8829828967
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 5, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533642217
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 134, Row: 3, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533786258
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 9, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8833297110
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 208, Row: 3, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034272457
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 205, Row: 2, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034271909
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 2, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8937493503
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 204, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533673840
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 216, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533676357
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 217, Row: 2, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034273425
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9090740047
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936710336
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8731788655
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 23, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8825011867
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 2, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533642072
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 112, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8663727100
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 10, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8837946721
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 322, Row: 8, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9048540893
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 316, Row: 10, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8846644028
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936801418
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 134, Row: 24, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8937129570
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 206, Row: 1, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034272362
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 100, Row: 1, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8799148911
