Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 331, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef46e90b271341d18c36b2
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef46e90b271341d18c385d
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef471b0b271341d19184b4
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 300, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef475d0b271341d19a6994
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 301, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef47860b271341d19f4104
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 330, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef47a40b271341d1a289e7
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 39, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc0b98988f2db84f13d
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 32, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc4b98988f2db856f36
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 311, Row: 2, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e255f5eedb9b5495b66
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 142, Row: 13, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/678683f15f5eedb9b59e2f71
