Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 314, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32027d4811782d330a31f
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 313, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32027d4811782d330a0e0
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 317, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32049d4811782d33483e0
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 310, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32051d4811782d3357712
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 316, Row: 15, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32040d4811782d3333642
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 322, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32036d4811782d3320133
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6764fbc3b98988f2db8551ac
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6764fbc2b98988f2db85419c
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 133, Row: 9, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6704d9ba1a2fe259049289c2
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 320, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e45b84d4811782d35be398
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 318, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e45bb6d4811782d35fe47f
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 312, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e45bb2d4811782d35f9cd4
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea101f0923f9bcd9c6abe
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 138, Row: 27, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e351e0d4811782d3888fab
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 142, Row: 23, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32053d4811782d335d0fc
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 139, Row: 22, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32044d4811782d333afe4
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 106, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32044d4811782d333a67a
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 140, Row: 22, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e3204fd4811782d33555aa
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 141, Row: 23, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e3204bd4811782d334bbb0
