Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 437, Row: 8, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8849221588
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 422, Row: 15, Price: $88, Est. Price: $127.6, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8802859243
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 408, Row: 19, Price: $88, Est. Price: $127.6, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8725908126
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 435, Row: 12, Price: $89, Est. Price: $129.04999999999998, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9015616631
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 435, Row: 11, Price: $90, Est. Price: $130.5, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8836752060
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 444, Row: 12, Price: $90, Est. Price: $130.5, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9032032142
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 448, Row: 7, Price: $90, Est. Price: $130.5, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9025583186
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 410, Row: 7, Price: $90, Est. Price: $130.5, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8838022062
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 417, Row: 9, Price: $90, Est. Price: $130.5, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8748446186
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 415, Row: 12, Price: $91, Est. Price: $131.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8958622485
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 422, Row: 22, Price: $91, Est. Price: $131.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9024436979
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 440, Row: 8, Price: $91, Est. Price: $131.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8730683854
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 445, Row: 8, Price: $91, Est. Price: $131.95, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8794202949
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 412, Row: 3, Price: $92, Est. Price: $133.4, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9092907170
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 417, Row: 15, Price: $92, Est. Price: $133.4, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8719227793
