Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6d6d4811782d37669cb
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6d6d4811782d3766995
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6dad4811782d376c2ee
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 306, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6d1d4811782d3760ddd
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 327, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6d1d4811782d3760737
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6d8d4811782d3769bca
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/6764fc76b98988f2db97b9ae
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/6764fc7ab98988f2db980c96
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fe33e2207e70b12dd58
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fde3e2207e70b11eeea
