Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 14, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969387
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 15, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969410
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 16, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969428
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 17, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969447
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 18, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969472
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 19, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969495
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 20, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969511
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 21, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969537
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 22, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969548
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 23, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969560
