Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 327, Row: 21, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3204cd4811782d33502e0
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 325, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32051d4811782d33576e6
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 309, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e351dad4811782d387b853
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 323, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67edd8abd4811782d3b48de1
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 325, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea146f0923f9bcda29f46
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a4d3e2207e70b706329
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 326, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a4e3e2207e70b7081de
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea14df0923f9bcda31d6a
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 142, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/678683f15f5eedb9b59e2e0b
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 17, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a4a3e2207e70b6fd8e0
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 36, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a543e2207e70b713d62
